Survey,Year,Julian,Site,Block,Treatment,TotalHa,TBA,Richness,simp.ind,Simp1
7001,2007,149,Bass1,Basswood,10% prairie bottom,0.55,0,0,0,1
7002,2007,149,Bass2,Basswood,10% prairie strips,0.56,0,0,0,1
7003,2007,149,Bass3,Basswood,20% prairie strips,0.57,2,2,2,3
7004,2007,149,Bass4,Basswood,20% prairie strips,0.61,0,0,0,1
7005,2007,149,Bass5,Basswood,10% prairie strips,1.31,1,1,1,2
7006,2007,149,Bass6,Basswood,0% prairie,0.81,2,2,1,2
7007,2007,149,Int1,Interim,10% prairie strips,3.1,4,2,1.6,2.6
7008,2007,149,Int2,Interim,10% prairie bottom,3.24,7,3,2.333333333,3.333333333
7009,2007,149,Int3,Interim,0% prairie,0.61,6,4,3,4
7010,2007,149,Orb1,Orbweaver,10% prairie bottom,1.25,10,5,4.454545455,5.454545455
7011,2007,149,Orb2,Orbweaver,20% prairie strips,2.51,2,1,1,2
7012,2007,149,Orb3,Orbweaver,0% prairie,1.24,2,2,2,3
7013,2007,151,Bass1,Basswood,10% prairie bottom,0.55,1,1,1,2
7014,2007,151,Bass2,Basswood,10% prairie strips,0.56,2,2,2,3
7015,2007,151,Bass3,Basswood,20% prairie strips,0.57,1,1,1,2
7016,2007,151,Bass4,Basswood,20% prairie strips,0.61,1,1,1,2
7017,2007,151,Bass5,Basswood,10% prairie strips,1.31,6,2,1.8,2.8
7018,2007,151,Bass6,Basswood,0% prairie,0.81,0,0,0,1
7019,2007,151,Int1,Interim,10% prairie strips,3.1,3,2,1.8,2.8
7020,2007,151,Int2,Interim,10% prairie bottom,3.24,5,3,2.272727273,3.272727273
7021,2007,151,Int3,Interim,0% prairie,0.61,0,0,0,1
7022,2007,151,Orb1,Orbweaver,10% prairie bottom,1.25,5,3,3,4
7023,2007,151,Orb2,Orbweaver,20% prairie strips,2.51,11,4,1.805970149,2.805970149
7024,2007,151,Orb3,Orbweaver,0% prairie,1.24,4,3,1.8,2.8
7025,2007,155,Bass1,Basswood,10% prairie bottom,0.55,2,2,2,3
7026,2007,155,Bass2,Basswood,10% prairie strips,0.56,4,2,1.6,2.6
7027,2007,155,Bass3,Basswood,20% prairie strips,0.57,5,3,2.272727273,3.272727273
7028,2007,155,Bass4,Basswood,20% prairie strips,0.61,2,2,2,3
7029,2007,155,Bass5,Basswood,10% prairie strips,1.31,3,1,1,2
7030,2007,155,Bass6,Basswood,0% prairie,0.81,0,0,0,1
7031,2007,155,Int1,Interim,10% prairie strips,3.1,5,4,3.571428571,4.571428571
7032,2007,155,Int2,Interim,10% prairie bottom,3.24,3,1,1,2
7033,2007,155,Int3,Interim,0% prairie,0.61,2,2,2,3
7034,2007,155,Orb1,Orbweaver,10% prairie bottom,1.25,1,1,1,2
7035,2007,155,Orb2,Orbweaver,20% prairie strips,2.51,1,1,1,2
7036,2007,155,Orb3,Orbweaver,0% prairie,1.24,0,0,0,1
7037,2007,156,Bass1,Basswood,10% prairie bottom,0.55,0,0,0,1
7038,2007,156,Bass2,Basswood,10% prairie strips,0.56,3,3,3,4
7039,2007,156,Bass3,Basswood,20% prairie strips,0.57,3,2,1.8,2.8
7040,2007,156,Bass4,Basswood,20% prairie strips,0.61,2,2,2,3
7041,2007,156,Bass5,Basswood,10% prairie strips,1.31,2,2,2,3
7042,2007,156,Bass6,Basswood,0% prairie,0.81,3,2,1.8,2.8
7043,2007,156,Int1,Interim,10% prairie strips,3.1,6,2,1.384615385,2.384615385
7044,2007,156,Int2,Interim,10% prairie bottom,3.24,4,3,2.666666667,3.666666667
7045,2007,156,Int3,Interim,0% prairie,0.61,1,1,1,2
7046,2007,156,Orb1,Orbweaver,10% prairie bottom,1.25,10,4,3.333333333,4.333333333
7047,2007,156,Orb2,Orbweaver,20% prairie strips,2.51,6,3,2.571428571,3.571428571
7048,2007,156,Orb3,Orbweaver,0% prairie,1.24,2,1,1,2
7049,2007,164,Bass1,Basswood,10% prairie bottom,0.55,1,1,1,2
7050,2007,164,Bass2,Basswood,10% prairie strips,0.56,0,0,0,1
7051,2007,164,Bass3,Basswood,20% prairie strips,0.57,2,2,2,3
7052,2007,164,Bass4,Basswood,20% prairie strips,0.61,2,2,2,3
7053,2007,164,Bass5,Basswood,10% prairie strips,1.31,3,3,3,4
7055,2007,164,Int1,Interim,10% prairie strips,3.1,2,2,2,3
7056,2007,164,Int2,Interim,10% prairie bottom,3.24,4,2,2,3
7057,2007,164,Int3,Interim,0% prairie,0.61,2,2,2,3
7058,2007,164,Orb1,Orbweaver,10% prairie bottom,1.25,5,3,2.777777778,3.777777778
7059,2007,164,Orb2,Orbweaver,20% prairie strips,2.51,6,4,3.6,4.6
7060,2007,164,Orb3,Orbweaver,0% prairie,1.24,2,2,2,3
7061,2007,170,Bass1,Basswood,10% prairie bottom,0.55,0,0,0,1
7062,2007,170,Bass2,Basswood,10% prairie strips,0.56,2,1,1,2
7063,2007,170,Bass3,Basswood,20% prairie strips,0.57,2,1,1,2
7064,2007,170,Bass4,Basswood,20% prairie strips,0.61,5,4,3.571428571,4.571428571
7065,2007,170,Bass5,Basswood,10% prairie strips,1.31,7,3,2.578947368,3.578947368
7066,2007,170,Bass6,Basswood,0% prairie,0.81,3,2,1.8,2.8
7067,2007,170,Int1,Interim,10% prairie strips,3.1,5,2,1.470588235,2.470588235
7068,2007,170,Int2,Interim,10% prairie bottom,3.24,2,1,1,2
7069,2007,170,Int3,Interim,0% prairie,0.61,5,3,2.272727273,3.272727273
7070,2007,170,Orb1,Orbweaver,10% prairie bottom,1.25,4,2,1.8,2.8
7071,2007,170,Orb2,Orbweaver,20% prairie strips,2.51,13,2,1.352,2.352
7072,2007,170,Orb3,Orbweaver,0% prairie,1.24,2,2,2,3
7073,2007,171,Bass1,Basswood,10% prairie bottom,0.55,3,2,1.8,2.8
7074,2007,171,Bass2,Basswood,10% prairie strips,0.56,4,3,2.666666667,3.666666667
7075,2007,171,Bass3,Basswood,20% prairie strips,0.57,4,2,2,3
7076,2007,171,Bass4,Basswood,20% prairie strips,0.61,5,3,2.777777778,3.777777778
7077,2007,171,Bass5,Basswood,10% prairie strips,1.31,3,2,1.8,2.8
7078,2007,171,Bass6,Basswood,0% prairie,0.81,0,0,0,1
7079,2007,171,Int1,Interim,10% prairie strips,3.1,2,2,2,3
7080,2007,171,Int2,Interim,10% prairie bottom,3.24,4,3,2.666666667,3.666666667
7081,2007,171,Int3,Interim,0% prairie,0.61,2,1,1,2
7082,2007,171,Orb1,Orbweaver,10% prairie bottom,1.25,5,3,2.666666667,3.666666667
7083,2007,171,Orb2,Orbweaver,20% prairie strips,2.51,10,5,2.5,3.5
7084,2007,171,Orb3,Orbweaver,0% prairie,1.24,9,3,1.588235294,2.588235294
7085,2007,183,Bass1,Basswood,10% prairie bottom,0.55,1,1,1,2
7086,2007,183,Bass2,Basswood,10% prairie strips,0.56,2,1,1,2
7087,2007,183,Bass3,Basswood,20% prairie strips,0.57,3,1,1,2
7088,2007,183,Bass4,Basswood,20% prairie strips,0.61,2,1,1,2
7089,2007,183,Bass5,Basswood,10% prairie strips,1.31,3,2,1.8,2.8
7090,2007,183,Bass6,Basswood,0% prairie,0.81,2,1,1,2
7091,2007,183,Int1,Interim,10% prairie strips,3.1,6,3,3,4
7092,2007,183,Int2,Interim,10% prairie bottom,3.24,1,1,1,2
7093,2007,183,Int3,Interim,0% prairie,0.61,1,1,1,2
7094,2007,183,Orb1,Orbweaver,10% prairie bottom,1.25,6,1,1,2
7095,2007,183,Orb2,Orbweaver,20% prairie strips,2.51,10,3,2.941176471,3.941176471
7096,2007,183,Orb3,Orbweaver,0% prairie,1.24,3,2,1.8,2.8
8001,2008,149,Bass1,Basswood,10% prairie bottom,0.55,8,5,4.571428571,5.571428571
8002,2008,149,Bass2,Basswood,10% prairie strips,0.56,2,2,1,2
8003,2008,149,Bass3,Basswood,20% prairie strips,0.57,7,3,2,3
8004,2008,149,Bass4,Basswood,20% prairie strips,0.61,4,4,4,5
8005,2008,149,Bass5,Basswood,10% prairie strips,1.31,10,6,4.764705882,5.764705882
8006,2008,149,Bass6,Basswood,0% prairie,0.81,7,4,3.769230769,4.769230769
8007,2008,149,Int1,Interim,10% prairie strips,3.1,3,3,3,4
8008,2008,149,Int2,Interim,10% prairie bottom,3.24,13,8,6.259259259,7.259259259
8009,2008,149,Int3,Interim,0% prairie,0.61,1,1,1,2
8010,2008,149,Orb1,Orbweaver,10% prairie bottom,1.25,11,8,7.142857143,8.142857143
8011,2008,149,Orb2,Orbweaver,20% prairie strips,2.51,5,4,3.571428571,4.571428571
8012,2008,149,Orb3,Orbweaver,0% prairie,1.24,3,2,2,3
8013,2008,153,Bass1,Basswood,10% prairie bottom,0.55,3,2,1.8,2.8
8014,2008,153,Bass2,Basswood,10% prairie strips,0.56,5,3,2.666666667,3.666666667
8015,2008,153,Bass3,Basswood,20% prairie strips,0.57,3,3,3,4
8016,2008,153,Bass4,Basswood,20% prairie strips,0.61,4,3,2.666666667,3.666666667
8017,2008,153,Bass5,Basswood,10% prairie strips,1.31,4,2,1.8,2.8
8018,2008,153,Bass6,Basswood,0% prairie,0.81,2,2,1,2
8019,2008,153,Int1,Interim,10% prairie strips,3.1,14,8,7.142857143,8.142857143
8020,2008,153,Int2,Interim,10% prairie bottom,3.24,7,5,4.454545455,5.454545455
8021,2008,153,Int3,Interim,0% prairie,0.61,3,3,3,4
8022,2008,153,Orb1,Orbweaver,10% prairie bottom,1.25,16,8,4.454545455,5.454545455
8023,2008,153,Orb2,Orbweaver,20% prairie strips,2.51,5,4,4,5
8024,2008,153,Orb3,Orbweaver,0% prairie,1.24,2,1,1,2
8025,2008,155,Bass1,Basswood,10% prairie bottom,0.55,3,2,2,3
8026,2008,155,Bass2,Basswood,10% prairie strips,0.56,8,5,4.5,5.5
8027,2008,155,Bass3,Basswood,20% prairie strips,0.57,1,1,1,2
8028,2008,155,Bass4,Basswood,20% prairie strips,0.61,3,1,1,2
8029,2008,155,Bass5,Basswood,10% prairie strips,1.31,3,2,2,3
8030,2008,155,Bass6,Basswood,0% prairie,0.81,6,3,3,4
8031,2008,155,Int1,Interim,10% prairie strips,3.1,17,14,10.88888889,11.88888889
8032,2008,155,Int2,Interim,10% prairie bottom,3.24,9,5,3.266666667,4.266666667
8033,2008,155,Int3,Interim,0% prairie,0.61,4,3,2.666666667,3.666666667
8034,2008,155,Orb1,Orbweaver,10% prairie bottom,1.25,10,5,3.2,4.2
8035,2008,155,Orb2,Orbweaver,20% prairie strips,2.51,12,7,6.368421053,7.368421053
8036,2008,155,Orb3,Orbweaver,0% prairie,1.24,1,1,1,2
8037,2008,159,Bass1,Basswood,10% prairie bottom,0.55,7,4,2.777777778,3.777777778
8038,2008,159,Bass2,Basswood,10% prairie strips,0.56,4,3,2.666666667,3.666666667
8039,2008,159,Bass3,Basswood,20% prairie strips,0.57,4,4,4,5
8040,2008,159,Bass4,Basswood,20% prairie strips,0.61,4,3,1.8,2.8
8041,2008,159,Bass5,Basswood,10% prairie strips,1.31,5,2,1.6,2.6
8042,2008,159,Bass6,Basswood,0% prairie,0.81,1,1,1,2
8043,2008,159,Int1,Interim,10% prairie strips,3.1,5,5,5,6
8044,2008,159,Int2,Interim,10% prairie bottom,3.24,14,9,7.538461538,8.538461538
8045,2008,159,Int3,Interim,0% prairie,0.61,1,1,1,2
8046,2008,159,Orb1,Orbweaver,10% prairie bottom,1.25,8,5,4.454545455,5.454545455
8047,2008,159,Orb2,Orbweaver,20% prairie strips,2.51,6,5,4.5,5.5
8048,2008,159,Orb3,Orbweaver,0% prairie,1.24,2,2,1,2
8049,2008,165,Bass1,Basswood,10% prairie bottom,0.55,4,3,2.666666667,3.666666667
8050,2008,165,Bass2,Basswood,10% prairie strips,0.56,7,5,4.454545455,5.454545455
8051,2008,165,Bass3,Basswood,20% prairie strips,0.57,3,3,3,4
8052,2008,165,Bass4,Basswood,20% prairie strips,0.61,6,2,1.8,2.8
8053,2008,165,Bass5,Basswood,10% prairie strips,1.31,12,7,6,7
8054,2008,165,Bass6,Basswood,0% prairie,0.81,2,2,2,3
8055,2008,165,Int1,Interim,10% prairie strips,3.1,10,7,6.25,7.25
8056,2008,165,Int2,Interim,10% prairie bottom,3.24,7,5,4.454545455,5.454545455
8057,2008,165,Int3,Interim,0% prairie,0.61,2,2,1,2
8058,2008,165,Orb1,Orbweaver,10% prairie bottom,1.25,13,4,2.909090909,3.909090909
8059,2008,165,Orb2,Orbweaver,20% prairie strips,2.51,10,6,5,6
8060,2008,165,Orb3,Orbweaver,0% prairie,1.24,0,0,0,1
8061,2008,166,Bass1,Basswood,10% prairie bottom,0.55,4,2,2,3
8062,2008,166,Bass2,Basswood,10% prairie strips,0.56,4,3,2.666666667,3.666666667
8063,2008,166,Bass3,Basswood,20% prairie strips,0.57,2,2,1,2
8064,2008,166,Bass4,Basswood,20% prairie strips,0.61,3,3,3,4
8065,2008,166,Bass5,Basswood,10% prairie strips,1.31,4,2,2,3
8067,2008,166,Int1,Interim,10% prairie strips,3.1,12,6,5.142857143,6.142857143
8068,2008,166,Int2,Interim,10% prairie bottom,3.24,9,7,6,7
8069,2008,166,Int3,Interim,0% prairie,0.61,6,2,1.470588235,2.470588235
8070,2008,166,Orb1,Orbweaver,10% prairie bottom,1.25,9,4,2.578947368,3.578947368
8071,2008,166,Orb2,Orbweaver,20% prairie strips,2.51,10,6,4.5,5.5
8072,2008,166,Orb3,Orbweaver,0% prairie,1.24,0,0,0,1
8073,2008,170,Bass1,Basswood,10% prairie bottom,0.55,2,1,1,2
8074,2008,170,Bass2,Basswood,10% prairie strips,0.56,1,1,1,2
8075,2008,170,Bass3,Basswood,20% prairie strips,0.57,2,1,1,2
8076,2008,170,Bass4,Basswood,20% prairie strips,0.61,6,4,3.6,4.6
8077,2008,170,Bass5,Basswood,10% prairie strips,1.31,4,3,1.8,2.8
8078,2008,170,Bass6,Basswood,0% prairie,0.81,5,2,1,2
8079,2008,170,Int1,Interim,10% prairie strips,3.1,20,8,3.951219512,4.951219512
8080,2008,170,Int2,Interim,10% prairie bottom,3.24,9,5,4.454545455,5.454545455
8081,2008,170,Int3,Interim,0% prairie,0.61,7,3,2.882352941,3.882352941
8082,2008,170,Orb1,Orbweaver,10% prairie bottom,1.25,9,5,3.52173913,4.52173913
8083,2008,170,Orb2,Orbweaver,20% prairie strips,2.51,12,6,5.260869565,6.260869565
8084,2008,170,Orb3,Orbweaver,0% prairie,1.24,1,1,1,2
8085,2008,171,Bass1,Basswood,10% prairie bottom,0.55,1,1,1,2
8086,2008,171,Bass2,Basswood,10% prairie strips,0.56,4,3,3,4
8087,2008,171,Bass3,Basswood,20% prairie strips,0.57,2,2,2,3
8088,2008,171,Bass4,Basswood,20% prairie strips,0.61,1,1,1,2
8089,2008,171,Bass5,Basswood,10% prairie strips,1.31,3,2,2,3
8090,2008,171,Bass6,Basswood,0% prairie,0.81,3,2,1.8,2.8
8091,2008,171,Int1,Interim,10% prairie strips,3.1,14,7,5.538461538,6.538461538
8092,2008,171,Int2,Interim,10% prairie bottom,3.24,17,8,5.666666667,6.666666667
8093,2008,171,Int3,Interim,0% prairie,0.61,3,1,1,2
8094,2008,171,Orb1,Orbweaver,10% prairie bottom,1.25,7,5,4.454545455,5.454545455
8095,2008,171,Orb2,Orbweaver,20% prairie strips,2.51,13,5,2.482758621,3.482758621
8096,2008,171,Orb3,Orbweaver,0% prairie,1.24,2,2,2,3
8097,2008,172,Bass1,Basswood,10% prairie bottom,0.55,1,1,1,2
8098,2008,172,Bass2,Basswood,10% prairie strips,0.56,2,2,2,3
8099,2008,172,Bass3,Basswood,20% prairie strips,0.57,4,4,4,5
8100,2008,172,Bass4,Basswood,20% prairie strips,0.61,9,4,2.909090909,3.909090909
8101,2008,172,Bass5,Basswood,10% prairie strips,1.31,8,4,3.6,4.6
8102,2008,172,Bass6,Basswood,0% prairie,0.81,1,1,1,2
8103,2008,172,Int1,Interim,10% prairie strips,3.1,11,4,3.102564103,4.102564103
8104,2008,172,Int2,Interim,10% prairie bottom,3.24,10,6,4.764705882,5.764705882
8105,2008,172,Int3,Interim,0% prairie,0.61,3,2,1.8,2.8
8106,2008,172,Orb1,Orbweaver,10% prairie bottom,1.25,9,5,3.857142857,4.857142857
8107,2008,172,Orb2,Orbweaver,20% prairie strips,2.51,8,5,4,5
8108,2008,172,Orb3,Orbweaver,0% prairie,1.24,0,0,0,1
8109,2008,175,Bass1,Basswood,10% prairie bottom,0.55,2,1,1,2
8110,2008,175,Bass2,Basswood,10% prairie strips,0.56,5,3,1.8,2.8
8111,2008,175,Bass3,Basswood,20% prairie strips,0.57,6,4,3.571428571,4.571428571
8112,2008,175,Bass4,Basswood,20% prairie strips,0.61,4,3,3,4
8113,2008,175,Bass5,Basswood,10% prairie strips,1.31,8,3,2.882352941,3.882352941
8114,2008,175,Bass6,Basswood,0% prairie,0.81,0,0,0,1
8115,2008,175,Int1,Interim,10% prairie strips,3.1,18,7,4.909090909,5.909090909
8116,2008,175,Int2,Interim,10% prairie bottom,3.24,10,8,7.142857143,8.142857143
8117,2008,175,Int3,Interim,0% prairie,0.61,2,1,1,2
8118,2008,175,Orb1,Orbweaver,10% prairie bottom,1.25,8,4,2.909090909,3.909090909
8119,2008,175,Orb2,Orbweaver,20% prairie strips,2.51,6,4,3.6,4.6
8120,2008,175,Orb3,Orbweaver,0% prairie,1.24,0,0,0,1
8121,2008,176,Bass1,Basswood,10% prairie bottom,0.55,2,2,2,3
8122,2008,176,Bass2,Basswood,10% prairie strips,0.56,4,3,2,3
8123,2008,176,Bass3,Basswood,20% prairie strips,0.57,4,4,4,5
8124,2008,176,Bass4,Basswood,20% prairie strips,0.61,5,2,1.470588235,2.470588235
8125,2008,176,Bass5,Basswood,10% prairie strips,1.31,5,5,5,6
8126,2008,176,Bass6,Basswood,0% prairie,0.81,3,1,1,2
8127,2008,176,Int1,Interim,10% prairie strips,3.1,11,6,4.481481481,5.481481481
8128,2008,176,Int2,Interim,10% prairie bottom,3.24,8,5,2.578947368,3.578947368
8129,2008,176,Int3,Interim,0% prairie,0.61,5,4,3.571428571,4.571428571
8130,2008,176,Orb1,Orbweaver,10% prairie bottom,1.25,11,5,4.166666667,5.166666667
8131,2008,176,Orb2,Orbweaver,20% prairie strips,2.51,7,4,2.578947368,3.578947368
8132,2008,176,Orb3,Orbweaver,0% prairie,1.24,0,0,0,1
8133,2008,183,Bass1,Basswood,10% prairie bottom,0.55,2,2,2,3
8134,2008,183,Bass2,Basswood,10% prairie strips,0.56,4,3,2,3
8135,2008,183,Bass3,Basswood,20% prairie strips,0.57,4,3,3,4
8136,2008,183,Bass4,Basswood,20% prairie strips,0.61,6,3,3,4
8137,2008,183,Bass5,Basswood,10% prairie strips,1.31,1,1,1,2
8138,2008,183,Bass6,Basswood,0% prairie,0.81,4,1,1,2
8139,2008,183,Int1,Interim,10% prairie strips,3.1,15,7,6.259259259,7.259259259
8140,2008,183,Int2,Interim,10% prairie bottom,3.24,10,6,4.166666667,5.166666667
8141,2008,183,Int3,Interim,0% prairie,0.61,8,5,4.454545455,5.454545455
8142,2008,183,Orb1,Orbweaver,10% prairie bottom,1.25,5,2,1.8,2.8
8143,2008,183,Orb2,Orbweaver,20% prairie strips,2.51,14,6,3.266666667,4.266666667
8144,2008,183,Orb3,Orbweaver,0% prairie,1.24,7,4,2.578947368,3.578947368
9001,2009,147,Bass1,Basswood,10% prairie bottom,0.55,5,3,2.272727273,3.272727273
9002,2009,147,Bass2,Basswood,10% prairie strips,0.56,7,3,2.777777778,3.777777778
9003,2009,147,Bass3,Basswood,20% prairie strips,0.57,3,3,2,3
9004,2009,147,Bass4,Basswood,20% prairie strips,0.61,1,1,1,2
9005,2009,147,Bass5,Basswood,10% prairie strips,1.31,4,1,1,2
9006,2009,147,Bass6,Basswood,0% prairie,0.81,1,1,1,2
9007,2009,147,Int1,Interim,10% prairie strips,3.1,20,12,9.256410256,10.25641026
9008,2009,147,Int2,Interim,10% prairie bottom,3.24,8,6,4.5,5.5
9009,2009,147,Int3,Interim,0% prairie,0.61,4,3,2.666666667,3.666666667
9010,2009,147,Orb1,Orbweaver,10% prairie bottom,1.25,11,6,5.555555556,6.555555556
9011,2009,147,Orb2,Orbweaver,20% prairie strips,2.51,8,3,2.461538462,3.461538462
9012,2009,147,Orb3,Orbweaver,0% prairie,1.24,9,2,1.8,2.8
9013,2009,148,Bass1,Basswood,10% prairie bottom,0.55,6,5,4.5,5.5
9014,2009,148,Bass2,Basswood,10% prairie strips,0.56,3,2,1.8,2.8
9015,2009,148,Bass3,Basswood,20% prairie strips,0.57,3,3,3,4
9016,2009,148,Bass4,Basswood,20% prairie strips,0.61,5,4,4,5
9017,2009,148,Bass5,Basswood,10% prairie strips,1.31,2,2,1,2
9018,2009,148,Bass6,Basswood,0% prairie,0.81,1,1,1,2
9019,2009,148,Int1,Interim,10% prairie strips,3.1,12,6,5.761904762,6.761904762
9020,2009,148,Int2,Interim,10% prairie bottom,3.24,12,7,5.761904762,6.761904762
9021,2009,148,Int3,Interim,0% prairie,0.61,4,3,2.666666667,3.666666667
9022,2009,148,Orb1,Orbweaver,10% prairie bottom,1.25,5,5,5,6
9023,2009,148,Orb2,Orbweaver,20% prairie strips,2.51,10,4,2.380952381,3.380952381
9024,2009,148,Orb3,Orbweaver,0% prairie,1.24,2,1,1,2
